,Name,,,,,,Name,Unique Imports,,LOC,,Total Imports,,Intra Collab,,Extra Collab,,,,
gfyoung   ,gfyoung,import org.apache.hadoop.conf.Configuration,,,,,Amruta Gokhale,2,,118,,5,,4,,0,,,,Amruta Gokhale
gfyoung   ,gfyoung,import org.apache.hadoop.fs.AbstractFileSystem,,,,,Andrii Rosa,11,,692,,19,,2,,0,,,,Amruta Gokhale
gfyoung   ,gfyoung,import org.apache.hadoop.fs.FileContext,,,,,Christopher Berner,42,,3294,,55,,5,,0,,,,Amruta Gokhale
gfyoung   ,gfyoung,import org.apache.hadoop.fs.UnsupportedFileSystemException,105,,,,Colin Marc,1,,34,,1,,0,,0,,,,Amruta Gokhale
,,,,,,,Costin Leau,9,,312,,12,,1,,0,,,,Andrii Rosa
Robert Muir ,Robert Muir,import org.apache.hadoop.conf.Configuration,,,,,Dain Sundstrom,71,,10001,,153,,14,,0,,,,Andrii Rosa
Robert Muir ,Robert Muir,import org.apache.hadoop.fs.DelegateToFileSystem,,,,,David Phillips,46,,2350,,86,,6,,0,,,,Andrii Rosa 
Robert Muir ,Robert Muir,import org.apache.hadoop.fs.FileStatus,,,,,,,,,,,,,,0,,,,Andrii Rosa  
Robert Muir ,Robert Muir,import org.apache.hadoop.fs.RawLocalFileSystem,,,,,Dongmin Yu,1,,14,,1,,1,,0,,,,Christopher Berner
Robert Muir ,Robert Muir,import org.apache.hadoop.fs.permission.FsPermission,117,,,,Eric Hwang,16,,1056,,18,,3,,0,,,,Christopher Berner
,,,,,,,gfyoung,4,,105,,4,,0,,0,,,,Christopher Berner
Costin Leau   ,Costin Leau,import org.apache.hadoop.fs.CreateFlag,,,,,Grzegorz Kokosiński,1,,135,,1,,0,,0,,,,Christopher Berner
Costin Leau   ,Costin Leau,import org.apache.hadoop.fs.FSDataOutputStream,,,,,Haozhun Jin,68,,7545,,110,,7,,0,,,,Christopher Berner
Costin Leau   ,Costin Leau,import org.apache.hadoop.fs.FileContext,,,,,Jonathan Kelly,1,,18,,1,,1,,0,,,,Christopher Berner 
Costin Leau   ,Costin Leau,import org.apache.hadoop.fs.FileStatus,,,,,Karol Sobczak,4,,495,,9,,2,,0,,,,Christopher Berner 
Costin Leau   ,Costin Leau,import org.apache.hadoop.fs.Options.CreateOpts,,,,,Lukasz Osipiuk,6,,202,,6,,0,,0,,,,Christopher Berner 
Costin Leau   ,Costin Leau,import org.apache.hadoop.fs.Path,,,,,Marc Beitchman,8,,282,,19,,3,,0,,,,Colin Marc  
Costin Leau   ,Costin Leau,import org.apache.hadoop.fs.PathFilter,164,,,,Martin Traverso,10,,324,,11,,4,,0,,,,Costin Leau
,,,,,,,Nate Sammons,1,,25,,1,,0,,0,,,,Dain Sundstrom
Robert Muir ,Robert Muir,import org.apache.hadoop.fs.FileAlreadyExistsException,,,,,Nezih Yigitbasi,4,,567,,4,,1,,0,,,,Dain Sundstrom
Costin Leau ,Costin Leau,import org.apache.hadoop.fs.FileContext,,,,,Nileema Shingte,12,,598,,15,,4,,0,,,,Dain Sundstrom
Costin Leau ,Costin Leau,import org.apache.hadoop.fs.Path,148,,,,Piotr Nowojski,4,,705,,5,,1,,0,,,,Dain Sundstrom
,,,,,,,Raghav Sethi,4,,150,,4,,0,,0,,,,Dain Sundstrom
Costin Leau ,Costin Leau,import org.apache.hadoop.conf.Configuration,,,,,Rebecca Schlussel,2,,112,,2,,1,,0,,,,Dain Sundstrom
Costin Leau ,Costin Leau,import org.apache.hadoop.fs.AbstractFileSystem,,,,,Rishi,16,,289,,17,,1,,0,,,,Dain Sundstrom
Costin Leau ,Costin Leau,import org.apache.hadoop.fs.FileContext,,,,,Robert Muir,9,,370,,10,,1,,0,,,,Dain Sundstrom
Robert Muir ,Robert Muir,import org.apache.hadoop.fs.UnsupportedFileSystemException,174,,,,Stanislaw Ogorkis,1,,57,,1,,0,,0,,,,Dain Sundstrom
,,,,,,,Tom Zeng,1,,33,,1,,0,,0,,,,Dain Sundstrom
Robert Muir ,Robert Muir,import org.apache.hadoop.conf.Configuration,,,,,Yang Yang,4,,2188,,10,,0,,0,,,,Dain Sundstrom
