,Name,Imports,,Name,,Unique Imports,,LOC,,Total Imports,,Intra Collab,,Extra Collab,,,,,
Peng Ye   ,Peng Ye,import org.apache.hadoop.io.compress.GzipCodec,,Aaron Dossett,,12,,,,,,,,,,,,,Arun Mahadevan       
,,,163,Alex Black,,9,,,,,,,,,,,,,Benjamin Yolken 
Hector Yee ,Hector Yee,import org.apache.hadoop.io.compress.GzipCodec,,Arun Mahadevan,,5,,,,,,,,,,,,,Brandon Williams 
,,,163,Benjamin Yolken,,3,,,,,,,,,,,,,cheddar        
Hector Yee ,Hector Yee,import org.apache.hadoop.conf.Configuration,,Bingkun Guo,,8,,,,,,,,,,,,,Dan LaRocque        
Hector Yee ,Hector Yee,import org.apache.hadoop.fs.FileSystem,,binlijin,,1,,,,,,,,,,,,,Davide Anastasia 
Hector Yee ,Hector Yee,import org.apache.hadoop.fs.Path,,Brandon Williams,,20,,,,,,,,,,,,,dclim          
Hector Yee ,Hector Yee,import org.apache.hadoop.io.compress.GzipCodec,,Charles Allen,,28,,,,,,,,,,,,,Eric Tschetter 
,,,218,cheddar,,6,,,,,,,,,,,,,Eric Tschetter 
Hector Yee  ,Hector Yee,import org.apache.hadoop.conf.Configuration,,Dan LaRocque,,74,,,,,,,,,,,,,Eric Tschetter   
Hector Yee  ,Hector Yee,import org.apache.hadoop.fs.{FileSystem,,Dan LaRocque java_,,13,,,,,,,,,,,,,Eric Tschetter   
,,,327,Davide Anastasia,,1,,,,,,,,,,,,,fjy              
Hector Yee ,Hector Yee,import org.apache.hadoop.fs.FileSystem,,dclim,,2,,,,,,,,,,,,,fjy              
Hector Yee ,Hector Yee,import org.apache.hadoop.conf.Configuration,,DuNinglin [杜宁林],,9,,,,,,,,,,,,,Gian Merlino   
Hector Yee ,Hector Yee,import org.apache.hadoop.fs.Path,,Eric Tschetter,,22,,,,,,,,,,,,,Gian Merlino     
,,,574,fjy,,11,,,,,,,,,,,,,Himanshu Gupta 
Hector Yee ,Hector Yee,import org.apache.hadoop.conf.Configuration,,flow,,1,,,,,,,,,,,,,Himanshu Gupta 
Hector Yee ,Hector Yee,import org.apache.hadoop.fs.{FileSystem,,Gian Merlino,,9,,,,,,,,,,,,,Himanshu Gupta 
,,,112,Hector Yee,,5,,,,,,,,,,,,,Himanshu Gupta 
Benjamin Yolken ,Benjamin Yolken,import org.apache.hadoop.conf.Configuration,,Himanshu Gupta,,24,,,,,,,,,,,,,Himanshu Gupta 
Benjamin Yolken ,Benjamin Yolken,import org.apache.hadoop.fs.{FileSystem,,Ian Brandt,,4,,,,,,,,,,,,,Himanshu Gupta 
julian qian     ,julian qian,import org.apache.hadoop.io.compress.GzipCodec,,Jonathan Ellis,,13,,,,,,,,,,,,,Himanshu Gupta 
,,,743,jon-wei,,9,,,,,,,,,,,,,Himanshu Gupta 
Benjamin Yolken ,Benjamin Yolken,import org.apache.hadoop.conf.Configuration,,Joshua McKenzie,,1,,,,,,,,,,,,,Himanshu Gupta 
Benjamin Yolken ,Benjamin Yolken,import org.apache.hadoop.fs.{FileSystem,,julian qian,,1,,,,,,,,,,,,,Himanshu Gupta   
Benjamin Yolken ,Benjamin Yolken,import org.apache.hadoop.io.compress.GzipCodec,,Keuntae Park,,28,,,,,,,,,,,,,Himanshu Gupta   
,,,139,Marko A. Rodriguez,,3,,,,,,,,,,,,,Jonathan Ellis   
Hector Yee ,Hector Yee,import org.apache.hadoop.fs.FileSystem,,Marko Rodriguez,,5,,,,,,,,,,,,,Jonathan Ellis    
Hector Yee ,Hector Yee,import org.apache.hadoop.fs.Path,,Matthias Broecheler,,6,,,,,,,,,,,,,jon-wei        
Hector Yee ,Hector Yee,import org.apache.hadoop.conf.Configuration,,Michael Schiff,,2,,,,,,,,,,,,,Joshua McKenzie   
Hector Yee ,Hector Yee,import org.apache.hadoop.fs.Path,,Navis Ryu,,3,,,,,,,,,,,,,julian qian     
,,,94,navis.ryu,,9,,,,,,,,,,,,,Marko Rodriguez     
Yitong Zhou ,Yitong Zhou,import org.apache.hadoop.conf.Configuration,,Nishant,,6,,,,,,,,,,,,,Navis Ryu      
Yitong Zhou ,Yitong Zhou,import org.apache.hadoop.fs.Path,,nishantmonu51,,5,,,,,,,,,,,,,Navis Ryu      
Yitong Zhou ,Yitong Zhou,import org.apache.hadoop.io.NullWritable,,nyghtowl,,2,,,,,,,,,,,,,navis.ryu      
Yitong Zhou ,Yitong Zhou,import org.apache.hadoop.mapreduce.Job,,P. Taylor Goetz,,19,,,,,,,,,,,,,navis.ryu      
,,,178,Parth Brahmbhatt,,19,,,,,,,,,,,,,nishantmonu51    
Hector Yee ,Hector Yee,import org.apache.hadoop.conf.Configuration,,Pavel Yaskevich,,4,,,,,,,,,,,,,nishantmonu51    
Hector Yee ,Hector Yee,import org.apache.hadoop.fs.{FileSystem,,Peng Ye,,1,,,,,,,,,,,,,P. Taylor Goetz      
,,,270,petar_r,,78,,,,,,,,,,,,,Philip Thompson  
petar_r ,petar_r,import org.apache.hadoop.conf.Configuration,,Philip Thompson,,7,,,,,,,,,,,,,Philip Thompson  
petar_r ,petar_r,import org.apache.hadoop.io.Text,,realfun,,3,,,,,,,,,,,,,Philip Thompson   
,,,50,Roshan Naik,,20,,,,,,,,,,,,,realfun        
