,Name,Imports,,Name,Unique Imports,,LOC,,Total Imports,,Intra Collab,,Extra Collab,,,,
Sijie Guo  ,Sijie Guo,import org.apache.hadoop.mapreduce.InputSplit,,Abhinay Nagpal,,,,,,,,,,,,,Abhinay Nagpal
Sijie Guo  ,Sijie Guo,import org.apache.hadoop.mapreduce.RecordReader,,Ajay Bhat,,,,,,,,,,,,,Abhinay Nagpal
Sijie Guo  ,Sijie Guo,import org.apache.hadoop.mapreduce.TaskAttemptContext,148,Aljoscha Krettek,,,,,,,,,,,,,Abhinay Nagpal
,,,,Artem Tsikiridis,,,,,,,,,,,,,Ajay Bhat
Sijie Guo  ,Sijie Guo,import org.apache.hadoop.conf.Configurable,,ARUNACHALAM THIRUPATHI,,,,,,,,,,,,,Aljoscha Krettek
Sijie Guo  ,Sijie Guo,import org.apache.hadoop.conf.Configuration,,Bhavani Sudha Saktheeswaran,,,,,,,,,,,,,Aljoscha Krettek
Sijie Guo  ,Sijie Guo,import org.apache.hadoop.mapreduce.InputFormat,,Bhupesh Bansal,,,,,,,,,,,,,Aljoscha Krettek
Sijie Guo  ,Sijie Guo,import org.apache.hadoop.mapreduce.InputSplit,,Chinmay Soman,,,,,,,,,,,,,Aljoscha Krettek
Sijie Guo  ,Sijie Guo,import org.apache.hadoop.mapreduce.JobContext,,Fabian Hueske,,,,,,,,,,,,,Aljoscha Krettek
Sijie Guo  ,Sijie Guo,import org.apache.hadoop.mapreduce.RecordReader,,faisalmoeen,,,,,,,,,,,,,Artem Tsikiridis
Sijie Guo  ,Sijie Guo,import org.apache.hadoop.mapreduce.TaskAttemptContext,127,Felix GV,,,,,,,,,,,,,Artem Tsikiridis
,,,,FelixNeutatz,,,,,,,,,,,,,Artem Tsikiridis
Sijie Guo  ,Sijie Guo,import org.apache.hadoop.io.Writable,,fpompermaier,,,,,,,,,,,,,Arunachalam Thirupathi
Sijie Guo  ,Sijie Guo,import org.apache.hadoop.mapreduce.InputSplit,95,Gaojie Liu,,,,,,,,,,,,,Bhavani Sudha Saktheeswaran
,,,,Greg Hogan,,,,,,,,,,,,,Chinmay Soman
Ufuk Celebi  ,Ufuk Celebi,import org.apache.hadoop.io.Text,,Igor Berman,,,,,,,,,,,,,Chinmay Soman
Ufuk Celebi  ,Ufuk Celebi,import org.apache.hadoop.mapreduce.Job,238,Ivan Mushketyk,,,,,,,,,,,,,Fabian Hueske
,,,,Jay Kreps,,,,,,,,,,,,,Fabian Hueske
twalthr           ,twalthr,import org.apache.hadoop.fs.Path,,Jeff Zhang,,,,,,,,,,,,,Fabian Hueske
twalthr           ,twalthr,import org.apache.hadoop.io.IntWritable,,Josh Mahonin,,,,,,,,,,,,,Fabian Hueske
twalthr           ,twalthr,import org.apache.hadoop.io.LongWritable,,kl0u,,,,,,,,,,,,,Fabian Hueske
twalthr           ,twalthr,import org.apache.hadoop.io.Text,,Kostas Kloudas,,,,,,,,,,,,,faisalmoeen
twalthr           ,twalthr,import org.apache.hadoop.mapreduce.Job,,Lasse Dalegaard,,,,,,,,,,,,,Felix GV
twalthr           ,twalthr,import org.apache.hadoop.mapreduce.lib.input.TextInputFormat,,lrajaram,,,,,,,,,,,,,Felix GV
twalthr           ,twalthr,import org.apache.hadoop.mapreduce.lib.output.TextOutputFormat,120,Martin Liesenberg,,,,,,,,,,,,,Felix GV
,,,,Max,,,,,,,,,,,,,Felix GV
Fabian Hueske  ,Fabian Hueske,import org.apache.hadoop.io.IntWritable,,Maximilian Michels,,,,,,,,,,,,,Felix GV
Fabian Hueske  ,Fabian Hueske,import org.apache.hadoop.io.Text,,mingliang,,,,,,,,,,,,,Felix GV
Fabian Hueske  ,Fabian Hueske,import org.apache.hadoop.mapred.JobConf,,Niels Basjes,,,,,,,,,,,,,Felix GV
Fabian Hueske  ,Fabian Hueske,import org.apache.hadoop.mapred.OutputCollector,,Prabhjyot Singh,,,,,,,,,,,,,FelixNeutatz
Fabian Hueske  ,Fabian Hueske,import org.apache.hadoop.mapred.Reducer,,Prasad Wagle,,,,,,,,,,,,,FelixNeutatz
Fabian Hueske  ,Fabian Hueske,import org.apache.hadoop.mapred.Reporter,213,Robert Metzger,,,,,,,,,,,,,fpompermaier
,,,,Roshan Sumbaly,,,,,,,,,,,,,fpompermaier
Fabian Hueske  ,Fabian Hueske,import org.apache.hadoop.io.IntWritable,,Sebastian Klemke,,,,,,,,,,,,,fpompermaier
Fabian Hueske  ,Fabian Hueske,import org.apache.hadoop.io.Text,,sewen,,,,,,,,,,,,,Jay Kreps
Fabian Hueske  ,Fabian Hueske,import org.apache.hadoop.mapred.JobConf,,Sijie Guo,,,,,,,,,,,,,Jay Kreps
Fabian Hueske  ,Fabian Hueske,import org.apache.hadoop.mapred.Mapper,,Stephan Ewen,,,,,,,,,,,,,Jay Kreps
Fabian Hueske  ,Fabian Hueske,import org.apache.hadoop.mapred.OutputCollector,,StephanEwen,,,,,,,,,,,,,Kostas Kloudas
Fabian Hueske  ,Fabian Hueske,import org.apache.hadoop.mapred.Reporter,182,Till Rohrmann,,,,,,,,,,,,,Lasse Dalegaard
,,,,twalthr,,,,,,,,,,,,,Lasse Dalegaard
Fabian Hueske  ,Fabian Hueske,import org.apache.hadoop.io.IntWritable,,Ufuk Celebi,,,,,,,,,,,,,lrajaram
Fabian Hueske  ,Fabian Hueske,import org.apache.hadoop.io.Text,,yildirim,,,,,,,,,,,,,Martin Liesenberg
Fabian Hueske  ,Fabian Hueske,import org.apache.hadoop.mapred.JobConf,,,,,,,,,,,,,,,Martin Liesenberg
Fabian Hueske  ,Fabian Hueske,import org.apache.hadoop.mapred.OutputCollector,,,,,,,,,,,,,,,Martin Liesenberg
Fabian Hueske  ,Fabian Hueske,import org.apache.hadoop.mapred.Reducer,,,,,,,,,,,,,,,Maximilian Michels
Fabian Hueske  ,Fabian Hueske,import org.apache.hadoop.mapred.Reporter,265,,,,,,,,,,,,,,Maximilian Michels
,,,,,,,,,,,,,,,,,Niels Basjes
Fabian Hueske  ,Fabian Hueske,import org.apache.hadoop.io.IntWritable,,,,,,,,,,,,,,,Robert Metzger
Fabian Hueske  ,Fabian Hueske,import org.apache.hadoop.io.Text,62,,,,,,,,,,,,,,Robert Metzger
,,,,,,,,,,,,,,,,,Robert Metzger
twalthr           ,twalthr,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,Robert Metzger
twalthr           ,twalthr,import org.apache.hadoop.io.LongWritable,,,,,,,,,,,,,,,Robert Metzger
twalthr           ,twalthr,import org.apache.hadoop.io.Text,,,,,,,,,,,,,,,Robert Metzger
twalthr           ,twalthr,import org.apache.hadoop.mapred.JobConf,,,,,,,,,,,,,,,Robert Metzger
Artem Tsikiridis  ,Artem Tsikiridis,import org.apache.hadoop.mapred.Mapper,,,,,,,,,,,,,,,Robert Metzger
Artem Tsikiridis  ,Artem Tsikiridis,import org.apache.hadoop.mapred.OutputCollector,,,,,,,,,,,,,,,Robert Metzger
Artem Tsikiridis  ,Artem Tsikiridis,import org.apache.hadoop.mapred.Reducer,,,,,,,,,,,,,,,Robert Metzger
