Sebastian Schelter  ,Sebastian Schelter,import org.apache.hadoop.fs.FSDataInputStream,
Sebastian Schelter  ,Sebastian Schelter,import org.apache.hadoop.fs.FSDataOutputStream,
Sebastian Schelter  ,Sebastian Schelter,import org.apache.hadoop.fs.FileStatus,
Sebastian Schelter  ,Sebastian Schelter,import org.apache.hadoop.fs.FileSystem,
Sebastian Schelter  ,Sebastian Schelter,import org.apache.hadoop.fs.LocalFileSystem,
Sebastian Schelter  ,Sebastian Schelter,import org.apache.hadoop.fs.Path,
Sebastian Schelter  ,Sebastian Schelter,import org.apache.hadoop.fs.PathFilter,
Sean R. Owen        ,Sean R. Owen,import org.apache.hadoop.io.Writable,
Grant Ingersoll     ,Grant Ingersoll,import org.apache.hadoop.mapreduce.InputFormat,
Grant Ingersoll     ,Grant Ingersoll,import org.apache.hadoop.mapreduce.Job,
Grant Ingersoll     ,Grant Ingersoll,import org.apache.hadoop.mapreduce.JobContext,
Grant Ingersoll     ,Grant Ingersoll,import org.apache.hadoop.mapreduce.Mapper,
Grant Ingersoll     ,Grant Ingersoll,import org.apache.hadoop.mapreduce.OutputFormat,
Grant Ingersoll     ,Grant Ingersoll,import org.apache.hadoop.mapreduce.Reducer,
,,,435
Jeff Eastman  ,Jeff Eastman,import org.apache.hadoop.io.Writable,
,,,56
Jeff Eastman  ,Jeff Eastman,import org.apache.hadoop.io.Writable,
,,,55
Jeff Eastman   ,Jeff Eastman,import org.apache.hadoop.conf.Configuration,
Jeff Eastman   ,Jeff Eastman,import org.apache.hadoop.fs.Path,
Jeff Eastman   ,Jeff Eastman,import org.apache.hadoop.io.IntWritable,
Jeff Eastman   ,Jeff Eastman,import org.apache.hadoop.mapreduce.Reducer,
,,,64
Jeff Eastman            ,Jeff Eastman,import org.apache.hadoop.conf.Configuration,
Jeff Eastman            ,Jeff Eastman,import org.apache.hadoop.fs.FileStatus,
Jeff Eastman            ,Jeff Eastman,import org.apache.hadoop.fs.FileSystem,
Jeff Eastman            ,Jeff Eastman,import org.apache.hadoop.fs.Path,
Jeff Eastman            ,Jeff Eastman,import org.apache.hadoop.io.IntWritable,
Jeff Eastman            ,Jeff Eastman,import org.apache.hadoop.mapreduce.Job,
Jeff Eastman            ,Jeff Eastman,import org.apache.hadoop.mapreduce.lib.input.FileInputFormat,
Jeff Eastman            ,Jeff Eastman,import org.apache.hadoop.mapreduce.lib.input.SequenceFileInputFormat,
Jeff Eastman            ,Jeff Eastman,import org.apache.hadoop.mapreduce.lib.output.FileOutputFormat,
Jeff Eastman            ,Jeff Eastman,import org.apache.hadoop.mapreduce.lib.output.SequenceFileOutputFormat,
,,,219
Jeff Eastman            ,Jeff Eastman,import org.apache.hadoop.conf.Configuration,
Jeff Eastman            ,Jeff Eastman,import org.apache.hadoop.fs.Path,
Jeff Eastman            ,Jeff Eastman,import org.apache.hadoop.io.IntWritable,
Jeff Eastman            ,Jeff Eastman,import org.apache.hadoop.io.WritableComparable,
Jeff Eastman            ,Jeff Eastman,import org.apache.hadoop.mapreduce.Mapper,
,,,71
Jeff Eastman        ,Jeff Eastman,import org.apache.hadoop.io.Writable,
,,,66
Sean R. Owen  ,Sean R. Owen,import org.apache.hadoop.conf.Configuration,
,,,91
